Continent,Region,Subregion,Stock,Group,Name,ScientificName,SpecCode,Source,MinOfYear,MaxOfYear,StartYear,EndYear,Flim,Fpa,Blim,Bpa,Bmsy,MSYBtrigger,Fmsy,last_F,Resilience,r.low,r.hi,stb.low,stb.hi,int.yr,intb.low,intb.hi,endb.low,endb.hi,btype,e.creep,force.cmsy,Comments,
North America,California Current,Southern Pacific Coast,Black rockfish - Southern Pacific Coast,NA,Black rockfish,Sebastes melanops,,NOAA Fisheries. (2020). Assessment Summary Data. Retrieved from www.st.nmfs.noaa.gov/stocksmart. 12/13/2020,1915,2006,1950,1999,NA,NA,NA,NA,NA,NA,NA,NA,Medium,NA,NA,0.85,0.95,NA,NA,NA,0.1,0.5,CPUE,NA,FALSE,NOAA Assessment model: Stock Synthesis. RF OK,
North America,California Current,Washington,Black rockfish - Washington,NA,Black rockfish,Sebastes melanops,,NOAA Fisheries. (2020). Assessment Summary Data. Retrieved from www.st.nmfs.noaa.gov/stocksmart. 12/13/2020,1940,2018,1940,2018,NA,NA,NA,NA,NA,NA,NA,NA,Medium,NA,NA,0.9,1,NA,NA,NA,0.1,0.5,CPUE,NA,FALSE,NOAA Assessment model: SS,
North America,Northeast Shelf,Mid-Atlantic Coast,Black sea bass - Mid-Atlantic Coast,NA,Black sea bass,Centropristis striata,,NOAA Fisheries. (2020). Assessment Summary Data. Retrieved from www.st.nmfs.noaa.gov/stocksmart. 12/13/2020,1989,2018,1989,2016,NA,NA,NA,NA,NA,NA,NA,NA,Medium,0.204484,0.464737,0.01,0.1,NA,NA,NA,0.5,0.8,CPUE,NA,FALSE,NOAA Assessment model: ASAP. RF OK,
North America,Southeast Shelf,Southern Atlantic Coast,Black sea bass - Southern Atlantic Coast,NA,Black sea bass,Centropristis striata,,NOAA Fisheries. (2020). Assessment Summary Data. Retrieved from www.st.nmfs.noaa.gov/stocksmart. 12/13/2020,1978,2016,1978,2008,NA,NA,NA,NA,NA,NA,0.310000002384186,NA,Medium,0.204484,0.464737,0.2,0.6,NA,NA,NA,NA,NA,CPUE,NA,FALSE,NOAA Assessment model: BAM,
North America,California Current,Southern California,Blackgill rockfish - Southern California,NA,Blackgill rockfish,Sebastes melanostomus,,NOAA Fisheries. (2020). Assessment Summary Data. Retrieved from www.st.nmfs.noaa.gov/stocksmart. 12/13/2020,1950,2018,1950,2000,NA,NA,NA,NA,NA,NA,NA,NA,Low,NA,NA,0.9,1,NA,NA,NA,0.03,0.3,CPUE,NA,FALSE,NOAA Assessment model: SS. RF OK,
North America,Atlantic Highly Migratory,Atlantic,Blacknose shark - Atlantic,NA,Blacknose shark,Carcharhinus acronotus,,NOAA Fisheries. (2020). Assessment Summary Data. Retrieved from www.st.nmfs.noaa.gov/stocksmart. 12/13/2020,1950,2009,1950,2005,NA,NA,NA,NA,NA,NA,NA,NA,Medium,NA,NA,0.9,1,NA,NA,NA,0.03,0.3,CPUE,NA,FALSE,"NOAA Assessment model: State-space, age-structured production model. RF OK",
Europe,Northern Europe,NA,bll.27.22-32,NA,Brill (Scophthalmus rhombus) in subdivisions 22-32 (Baltic Sea),Scophthalmus rhombus,,https://standardgraphs.ices.dk/stockList.aspx,1970,2019,2001,2019,NA,NA,NA,NA,NA,NA,NA,NA,Medium,0.311535,0.708035,0.01,0.2,NA,NA,NA,0.1,0.5,CPUE,NA,FALSE,F-age:  ; type of abundance: A_index,
Europe,Northern Europe,NA,bll.27.3a47de,NA,Brill (Scophthalmus rhombus) in Subarea 4 and divisions 3.a and 7.d-e (North Sea. Skagerrak and Kattegat. English Channel),Scophthalmus rhombus,,https://standardgraphs.ices.dk/stockList.aspx,1950,2019,1995,2019,NA,NA,NA,NA,NA,NA,NA,NA,Medium,0.311535,0.708035,0.01,0.2,NA,NA,NA,NA,NA,CPUE,NA,FALSE,F-age:  ; type of abundance: B_index,
North America,Northeast Shelf,Atlantic Coast,Bluefish - Atlantic Coast,NA,Bluefish,Pomatomus saltatrix,,NOAA Fisheries. (2020). Assessment Summary Data. Retrieved from www.st.nmfs.noaa.gov/stocksmart. 12/13/2020,1985,2018,1985,2015,NA,NA,NA,NA,NA,NA,NA,NA,Medium,NA,NA,0.2,0.6,NA,NA,NA,NA,NA,CPUE,NA,FALSE,NOAA Assessment model: ASAP,
North America,Southeast Shelf,Southern Atlantic Coast,Blueline tilefish - Southern Atlantic Coast,NA,Blueline tilefish,Caulolatilus microps,,NOAA Fisheries. (2020). Assessment Summary Data. Retrieved from www.st.nmfs.noaa.gov/stocksmart. 12/13/2020,1958,2015,1975,2015,NA,NA,NA,NA,NA,NA,0.145999997854233,NA,Medium,NA,NA,NA,NA,NA,NA,NA,0.1,0.5,CPUE,NA,FALSE,NOAA Assessment model: ASPIC. RF OK,
North America,California Current,Southern Pacific Coast,Bocaccio - Southern Pacific Coast,NA,Bocaccio,Sebastes paucispinis,,NOAA Fisheries. (2020). Assessment Summary Data. Retrieved from www.st.nmfs.noaa.gov/stocksmart. 12/13/2020,1892,2016,1960,2000,NA,NA,NA,NA,NA,NA,NA,NA,Low,0.167815,0.381397,0.2,0.3,NA,NA,NA,0.03,0.25,CPUE,NA,FALSE,NOAA Assessment model: Stock Synthesis (SS). RF OK,
Europe,ICCAT,Azores Canaries Madeira,Boop_boo_AzoresCanariesMadeira,Medium demersals (30 - 89 cm),Bogue in Azores Canaries Madeira,Boops boops,,,1973,2018,1973,2018,NA,NA,NA,NA,NA,NA,NA,NA,Medium,0.39,0.89,0.5,0.8,NA,NA,NA,0.02,0.2,None,NA,F,RF OK,
Africa,ICCAT,Gulf of Guinea Islands,Boop_boo_GulfGuineaIs,Medium demersals (30 - 89 cm),Bogue in Gulf of Guinea Islands,Boops boops,,,1950,2018,1961,2018,NA,NA,NA,NA,NA,NA,NA,NA,Medium,0.39,0.89,0.5,0.8,NA,NA,NA,0.03,0.3,None,NA,F,RF OK,
Arctic,Arctic,Kara Sea,Bore_sai_Kara,Medium demersals (30 - 89 cm),Polar cod in Kara Sea,Boreogadus saida,,,1950,2018,1950,2018,NA,NA,NA,NA,NA,NA,NA,NA,Medium,0.21,0.48,0.8,1,NA,NA,NA,0.02,0.2,None,NA,F,RF OK,
Africa,,Gulf of Guinea,Brac_aur_GulfGuineaUpC,Small demersals (<30 cm),Bigeye grunt,Brachydeuterus auritus,,http://www.fao.org/3/a-i5138b.pdf,1950,2018,1990,2010,NA,NA,NA,NA,NA,NA,NA,NA,Medium,0.37,0.85,0.55,0.65,NA,NA,NA,NA,NA,CPUE,NA,F,,
Africa,ICCAT,Gulf of Guinea West,Brac_aur_GulfGuineaW,Small demersals (<30 cm),Bigeye grunt in Gulf of Guinea West,Brachydeuterus auritus,,,1991,2018,1991,2017,NA,NA,NA,NA,NA,NA,NA,NA,Medium,0.37,0.85,0.4,0.6,NA,NA,NA,0.03,0.3,None,NA,F,RF OK,
South America,CCSBT; ICCAT,Rio Grande,Brev_pec_RioGrande,Medium pelagics (30 - 89 cm),Argentine menhaden in Rio Grande,Brevoortia pectinata,,,1950,2018,1950,2018,NA,NA,NA,NA,NA,NA,NA,NA,Medium,NA,NA,0.5,0.9,NA,NA,NA,0.05,0.25,None,NA,F,RF OK,
North America,NAFO; NASCO; ICCAT,Northern Grand Banks - Southern Labrador,Bros_bro_NGrandBanks,Large demersals (>=90 cm),Tusk in Northern Grand Banks - Southern Labrador,Brosme brosme,,,1950,2018,1950,2018,NA,NA,NA,NA,NA,NA,NA,NA,Medium,0.3,0.68,0.6,1,NA,NA,NA,0.03,0.2,None,NA,F,RF OK,
North America,NAFO; NASCO; ICCAT,Scotian Shelf and Gulf of St. Lawrence - Eastern Scotian Shelf,Bros_bro_ScotianShelfStLawrence,Large demersals (>=90 cm),Tusk in Scotian Shelf and Gulf of St. Lawrence - Eastern Scotian Shelf,Brosme brosme,,"Ricard, D., et al. (2012) Examining the knowledge base and status of commercially exploited marine species with the RAM Legacy Stock Assessment Database. Fish and Fisheries 13(4):380-398.",1950,2018,1950,2018,NA,NA,NA,NA,NA,NA,NA,NA,Medium,0.3,0.68,0.8,1,NA,NA,NA,0.01,0.2,CPUE,NA,F,RF OK,
North America,California Current,Pacific Coast,Brown rockfish - Pacific Coast,NA,Brown rockfish,Sebastes auriculatus,,NOAA Fisheries. (2020). Assessment Summary Data. Retrieved from www.st.nmfs.noaa.gov/stocksmart. 12/13/2020,1916,2012,1950,2012,NA,NA,NA,NA,NA,NA,NA,NA,Low,0.141056,0.320583,0.8,0.95,NA,NA,NA,0.04,0.4,CPUE,NA,FALSE,NOAA Assessment model: Extended DBSRA. RF OK,
Europe,Northern Europe,NA,bsf.27.nea,NA,Black scabbardfish (Aphanopus carbo) in subareas 1. 2. 4-8. 10. and 14. and divisions 3.a. 9.a. and 12.b (Northeast Atlantic and Arctic Ocean),Aphanopus carbo,,https://standardgraphs.ices.dk/stockList.aspx,1988,2019,2004,2019,NA,NA,NA,NA,NA,NA,NA,NA,Low,0.120782,0.413544,0.3,0.5,NA,NA,NA,0.04,0.4,CPUE,NA,FALSE,F-age:  ; type of abundance: B_index,
Global,Indian Ocean,NA,bsh.io,NA,Blue shark,Prionace glauca,,https://www.iotc.org/sites/default/files/documents/2017/08/IOTC-2017-WPEB13-33_0.pdf,1949,2015,1954,2015,NA,NA,NA,NA,NA,NA,NA,NA,Low,0.04,0.1,0.7,0.9,NA,NA,NA,0.04,0.4,CPUE,NA,FALSE,2017 Stock Synthesis reference run. RF OK,
Europe,Northern Europe,NA,bss.27.4bc7ad-h,NA,Seabass (Dicentrarchus labrax) in divisions 4.b-c. 7.a. and 7.d-h (central and southern North Sea. Irish Sea. English Channel. Bristol Channel. and Celtic Sea),Dicentrarchus labrax,,https://standardgraphs.ices.dk/stockList.aspx,1985,2020,1985,2019,0.254,0.1815,10313,14439,NA,14439,0.1713,NA,Medium,NA,NA,0.2,0.4,NA,NA,NA,0.02,0.25,CPUE,NA,FALSE,F-age: 4-15 ; type of abundance: SSB. RF OK,
Europe,Northern Europe,NA,bss.27.8ab,NA,Seabass (Dicentrarchus labrax) in divisions 8.a-b (northern and central Bay of Biscay),Dicentrarchus labrax,,https://standardgraphs.ices.dk/stockList.aspx,1985,2020,1985,2019,0.172,0.123,11920,16688,NA,16688,0.123,NA,Medium,0.350574,0.836554,NA,NA,NA,NA,NA,NA,NA,CPUE,1,FALSE,F-age: 4-15 ; type of abundance: SSB,
Global,Atlantic,NA,bum.atl,NA,Blue marlin,Makaira nigricans,,https://www.iccat.int/Documents/Meetings/Docs/2018/REPORTS/2018_BUM_SA_ENG.pdf,1959,2016,1972,2008,NA,NA,NA,NA,NA,NA,NA,NA,Medium,0.35,0.8,0.7,0.9,NA,NA,NA,0.1,0.5,CPUE,NA,FALSE,2018 ICCAT JABBA reference model (Fox). RF OK,
